b/h,b/s,b/v,s/h,s/s,s/v
343,64,59,346,74,40
13,27,100,359,41,67
28,11,100,358,45,75
198,45,55,226,36,27
90,5,96,204,19,65
215,27,33,227,27,28
246,67,72,245,53,38
236,49,73,241,68,65
5,23,89,235,33,43
189,14,36,205,59,29
75,47,52,62,31,39
205,69,44,230,32,29
186,19,79,207,37,47
230,7,96,231,21,64
195,64,61,206,71,42
193,19,80,209,31,53
25,9,100,2,28,93
208,84,47,210,87,38
154,10,87,187,19,67
342,72,81,339,70,56
6,21,100,358,46,87
18,25,96,12,36,100
333,21,57,273,27,29
24,11,100,349,23,63
3,22,100,349,34,75
0,0,60,224,12,49
231,33,40,231,41,34
249,31,26,246,37,22
21,15,100,348,16,73
0,0,87,222,5,71
40,34,100,20,33,86
29,13,100,331,24,60
86,3,95,205,12,56
220,37,43,222,31,29
314,15,74,221,34,44
353,18,99,324,27,74
237,26,28,349,47,18
4,18,92,297,13,60
230,10,67,223,43,36
250,31,29,221,75,20
16,10,100,349,35,56
255,29,80,231,46,30
230,52,71,248,67,39
13,13,100,349,35,69
8,14,100,294,11,65
193,66,64,231,33,42
224,31,33,231,58,24
214,24,69,227,32,55
15,12,100,332,46,51
19,10,100,300,12,65
34,23,98,296,9,68
249,20,41,245,35,24
27,11,100,324,20,65
306,21,52,288,33,35
222,17,65,260,36,54
240,26,18,243,44,16
102,4,98,235,13,70
243,32,22,244,36,18
268,98,88,259,88,40
66,85,67,248,42,48
355,11,81,349,34,57
7,13,99,283,14,60
48,4,49,98,11,27
249,13,42,249,16,31
255,66,77,260,74,47
360,5,99,5,6,73
249,13,42,228,27,36
326,14,58,285,18,43
19,10,100,255,15,61
159,8,83,231,20,38
5,84,98,345,46,42
272,25,24,257,45,16
0,0,73,231,19,41
90,3,85,236,19,56
12,11,94,249,12,62
349,7,96,327,16,73
203,7,47,237,23,36
10,5,87,250,14,64
120,3,89,212,17,60
7,10,93,348,33,84
350,23,96,334,42,76
247,25,65,250,33,27
237,11,82,255,25,52
9,5,98,260,4,86
40,1,85,340,15,56
346,17,98,272,34,45
328,94,83,327,70,51
344,10,94,266,10,84
354,17,95,352,25,78
48,18,66,69,9,54
70,80,84,74,53,40
0,0,67,220,39,33
235,27,33,222,9,87
232,37,23,237,45,16
249,19,38,238,39,32
243,84,82,260,31,45
126,4,96,218,11,58
8,25,95,347,44,61
360,7,79,222,28,38
26,10,99,350,22,51
6,84,100,342,49,35
249,17,33,244,39,17
64,7,83,199,18,41
1,20,90,339,33,45
295,9,47,225,25,38
276,14,28,276,24,16
37,31,100,344,60,89
336,43,85,334,69,71
2,11,100,273,18,62
332,7,100,278,18,78
338,51,96,266,30,70
340,3,86,347,17,76
332,26,56,285,23,42
191,49,55,224,33,31
250,22,41,272,24,24
235,47,29,237,37,20
21,11,100,279,10,66
263,86,76,260,95,52
215,27,27,232,34,25
223,27,68,251,50,41
347,15,84,243,13,56
252,30,58,239,51,42
147,4,100,246,13,62
42,4,100,310,11,62
310,37,64,246,32,26
349,51,93,263,19,73
358,40,100,345,66,82
360,14,100,282,18,82
340,82,85,323,77,57
313,34,53,259,41,36
39,12,100,304,8,83
334,15,59,252,34,30
353,19,93,347,24,64
357,39,100,303,27,32
334,86,73,231,36,37
355,22,89,232,12,49
350,18,100,308,26,67
331,99,79,293,33,47
329,13,97,316,22,80
349,53,87,270,26,73
340,9,93,287,22,82
268,15,75,256,30,56
329,13,75,246,37,40
343,11,92,267,25,63
196,13,79,231,25,65
3,27,91,343,38,71
360,7,100,352,21,93
349,7,96,272,20,74
327,14,73,245,30,33
17,15,100,356,45,78
340,29,36,259,32,36
11,20,96,356,45,78
246,37,81,249,37,61
3,8,100,270,16,59
223,34,70,237,27,27
353,35,91,324,38,39
279,26,75,255,37,45
350,41,78,331,38,40
288,43,23,240,21,18
6,37,100,339,83,82
335,11,96,267,16,79
353,10,98,327,21,71
327,97,75,299,42,39
357,14,100,321,34,66
334,23,65,288,31,32
233,27,25,237,41,18
329,13,97,270,43,44
65,100,100,15,26,83
10,21,97,281,21,53
21,25,99,353,13,75
206,26,24,206,39,16
279,7,94,243,25,73
3,6,98,244,13,48
342,65,74,289,41,47
18,14,86,278,15,56
185,12,71,251,29,28
194,49,62,214,57,45
223,35,39,237,27,31
23,35,100,2,49,98
15,16,100,330,20,74
357,47,100,346,61,89
345,61,90,341,73,82
341,75,83,331,91,71
3,9,95,259,17,67
10,49,100,358,60,95
25,26,100,14,32,93
13,27,100,7,45,93
352,71,98,342,81,75
223,26,37,222,24,21
310,16,30,300,16,17
24,20,100,8,44,95
356,13,84,343,33,51
340,12,88,343,33,51
353,22,100,279,20,56
203,37,65,232,44,47
338,69,80,265,38,42
4,20,93,318,21,66
1,29,100,322,25,71
13,13,100,273,12,72
336,19,89,280,29,49
328,10,98,222,9,87
2,11,100,320,17,55
19,18,100,311,8,74
232,37,23,231,80,10
342,62,83,257,25,55
21,6,100,250,14,64
15,14,100,332,15,69
353,21,99,270,15,65
342,67,83,282,32,45
347,43,89,332,37,71
360,14,100,302,18,64
335,94,74,289,33,53
335,94,74,240,38,25
27,4,96,244,6,87
225,16,39,230,25,28
3,15,100,342,31,81
261,32,53,242,46,27
249,11,96,257,20,69
17,15,97,1,36,88
325,61,60,311,70,35
21,7,100,346,27,80
249,25,30,237,40,20
7,15,86,292,19,47
340,6,97,266,8,76
15,11,87,250,19,60
19,9,92,290,7,69
7,16,80,319,13,48
223,14,69,244,19,33
2,15,95,277,21,49
318,6,86,245,18,52
30,8,100,287,10,54
0,0,91,250,16,60
326,30,55,245,30,31
360,7,95,265,17,56
266,9,88,224,26,51
345,76,72,333,80,52
58,72,78,203,9,56
283,4,68,242,30,42
0,0,100,261,10,90
18,13,100,351,29,56
86,5,56,237,22,34
262,26,45,249,24,31
13,13,100,342,36,72
289,26,33,245,41,23
282,33,31,250,37,32
16,6,100,276,14,87
298,19,60,265,30,60
2,33,100,286,29,47
16,10,100,348,41,75
218,19,97,245,34,89
334,86,90,321,83,59
355,10,87,251,13,52
207,7,47,240,30,31
23,3,89,302,19,53
200,1,83,246,16,51
249,31,34,243,64,23
215,8,89,231,24,69
66,99,74,247,20,52
237,44,36,242,61,31
218,5,65,243,29,50
257,55,89,250,75,67
249,8,100,242,20,100
252,47,42,241,58,29
257,55,89,237,60,37
300,4,100,256,26,55
60,3,95,213,11,78
251,30,22,233,44,15
193,33,85,194,45,55
23,8,100,346,35,61
282,8,63,240,25,38
19,8,96,281,19,57
254,66,65,257,74,45
335,17,99,341,53,85
355,52,100,344,74,99
322,80,56,295,82,36
190,28,89,223,51,45
356,35,100,264,31,81
357,17,98,278,22,53
347,8,98,251,21,71
344,70,92,261,36,60
28,29,100,263,23,91
4,6,96,333,40,51
228,2,86,250,4,53
344,54,100,333,70,77
2,52,89,348,59,82
28,33,100,358,39,96
16,10,100,341,36,82
340,8,100,259,28,79
358,30,100,285,37,75
120,3,95,242,18,73
281,7,93,229,16,67
259,60,43,252,54,30
10,7,100,276,20,66
227,71,48,246,71,36
340,16,100,333,70,75
150,1,89,242,14,76
42,10,79,259,25,61
42,6,92,230,9,76
18,13,100,342,52,47
273,24,75,246,57,52
237,20,42,238,35,35
160,4,96,235,12,74
344,11,98,249,8,62
6,9,90,253,16,45
16,11,100,329,24,50
231,25,22,237,45,18
240,8,38,237,34,24
68,53,77,80,5,25
26,3,91,305,18,51
284,5,84,250,20,50
10,12,58,282,23,44
309,4,71,310,9,55
355,15,58,270,32,29
11,98,81,8,96,68
86,3,93,260,14,67
21,7,100,346,33,66
209,26,61,235,38,51
346,31,91,296,28,67
335,63,63,278,31,51
176,9,64,180,12,53
256,8,57,246,26,43
86,3,88,237,12,62
30,8,100,263,10,71
257,11,51,255,19,41
11,7,100,334,29,56
10,5,100,337,25,76
340,4,93,236,15,72
251,27,25,235,52,17
40,1,95,309,24,56
103,3,87,210,35,54
11,7,94,348,20,70
86,3,89,244,10,62
251,6,71,265,14,66
358,13,96,347,28,89
356,6,97,254,12,89
19,10,97,250,13,69
357,9,88,256,17,45
4,6,96,279,12,77
251,5,90,251,12,58
345,22,84,326,42,57
274,15,95,268,22,65
268,8,96,264,24,88
317,100,84,299,76,64
341,9,80,300,22,42
335,10,100,324,56,56
278,15,93,248,31,61
295,25,87,259,36,79
27,13,91,350,28,73
266,3,86,201,8,67
256,8,51,249,25,42
346,9,92,338,35,82
33,9,92,279,20,55
354,4,96,339,39,67
332,6,97,254,14,74
360,6,96,294,10,72
3,9,90,281,31,52
275,30,60,234,29,40
246,43,27,231,69,11
21,12,100,315,27,53
347,75,82,327,58,42
343,55,84,315,44,42
243,25,35,240,43,24
238,23,55,242,40,25
22,15,100,264,18,65
311,9,95,270,19,71
239,42,44,240,42,26
335,11,92,253,20,65
251,28,24,246,40,20
5,18,100,278,27,78
349,11,100,343,35,88
283,13,100,269,30,82
360,30,100,282,22,46
214,33,36,240,40,33
358,60,81,286,36,31
343,24,80,314,54,47
14,10,98,259,22,67
7,26,95,270,21,64
360,7,89,355,32,100
224,19,45,292,31,28
224,5,93,227,19,77
233,38,75,254,42,47
243,34,68,273,51,32
22,16,94,257,27,45
299,78,43,281,61,28
29,10,87,271,17,65
147,13,60,222,20,54
113,3,92,187,6,56
37,4,84,343,24,50
45,8,95,249,7,73
247,4,88,256,8,77
248,45,57,258,47,41
18,9,100,342,51,69
258,60,58,258,72,49
342,44,100,266,27,60
250,49,39,246,43,28
328,61,98,320,88,68
40,17,100,273,20,82
27,11,100,336,37,57
38,9,100,351,39,87
89,25,89,154,35,63
360,9,100,280,24,71
256,31,69,254,47,61
272,7,97,253,17,87
347,23,98,268,21,80
237,40,22,240,56,20
10,23,100,273,30,83
336,15,100,316,28,64
262,26,45,249,24,31
289,26,33,245,39,22
16,6,100,276,14,87
19,6,100,341,37,73
43,10,100,346,27,78
4,6,99,255,21,81
346,19,82,254,33,31
249,13,64,247,23,47
12,8,100,353,36,80
263,26,27,228,42,23
270,5,94,273,22,65
342,22,63,264,35,52
5,5,100,347,42,90
51,18,100,19,28,100
351,11,100,270,20,89
354,22,100,337,36,100
351,17,98,269,17,71
249,17,48,237,24,31
210,22,56,227,27,40
18,9,100,244,11,51
26,10,100,342,33,49
246,63,64,241,54,42
251,4,96,283,23,47
4,13,100,355,38,85
334,11,98,263,23,91
